Time	Key	Button	Event
236.411215     	'              	s5             	+0000017
236.491011     	'              	s5             	-0000017
237.298816     	insert         	Ins            	+0000001
237.330730     	insert         	Ins            	-0000001
237.618958     	backspace      	BckSpc         	+0000030
237.666832     	backspace      	BckSpc         	-0000030
237.746616     	backspace      	BckSpc         	+0000031
237.811449     	backspace      	BckSpc         	-0000031
237.955059     	backspace      	BckSpc         	+0000032
238.002963     	backspace      	BckSpc         	-0000032
238.211374     	backspace      	BckSpc         	+0000033
238.227369     	backspace      	BckSpc         	-0000033
241.458692     	right          	aRight         	+0000006
241.539476     	right          	aRight         	-0000006
241.730965     	left           	aLeft          	+0000007
241.794795     	left           	aLeft          	-0000007
241.883571     	left           	aLeft          	+0000008
241.931440     	left           	aLeft          	-0000008
242.011217     	left           	aLeft          	+0000009
242.075077     	left           	aLeft          	-0000009
242.154833     	left           	aLeft          	+0000010
242.202705     	left           	aLeft          	-0000010
242.554764     	left           	aLeft          	+0000011
242.618627     	left           	aLeft          	-0000011
243.226964     	right          	aRight         	+0000007
243.290796     	right          	aRight         	-0000007
243.515195     	left           	aLeft          	+0000012
243.579052     	left           	aLeft          	-0000012
243.658846     	left           	aLeft          	+0000013
243.706682     	left           	aLeft          	-0000013
243.803425     	left           	aLeft          	+0000014
243.851310     	left           	aLeft          	-0000014
243.931083     	left           	aLeft          	+0000015
243.994913     	left           	aLeft          	-0000015
244.074701     	left           	aLeft          	+0000016
244.122571     	left           	aLeft          	-0000016
244.219320     	left           	aLeft          	+0000017
244.283141     	left           	aLeft          	-0000017
244.362965     	left           	aLeft          	+0000018
244.426759     	left           	aLeft          	-0000018
244.523498     	left           	aLeft          	+0000019
244.571370     	left           	aLeft          	-0000019
244.667130     	left           	aLeft          	+0000020
244.714987     	left           	aLeft          	-0000020
244.794807     	left           	aLeft          	+0000021
244.842647     	left           	aLeft          	-0000021
245.515850     	'              	s5             	+0000018
245.578677     	'              	s5             	-0000018
245.930769     	right          	aRight         	+0000008
246.011528     	right          	aRight         	-0000008
246.282796     	left           	aLeft          	+0000022
246.330667     	left           	aLeft          	-0000022
246.587016     	left           	aLeft          	+0000023
246.650846     	left           	aLeft          	-0000023
247.227269     	'              	s5             	+0000019
247.291131     	'              	s5             	-0000019
247.627202     	right          	aRight         	+0000009
247.691064     	right          	aRight         	-0000009
247.770851     	right          	aRight         	+0000010
247.818688     	right          	aRight         	-0000010
247.907452     	right          	aRight         	+0000011
247.971316     	right          	aRight         	-0000011
248.667433     	b              	B              	+0000010
248.747207     	b              	B              	-0000010
248.906779     	u              	U              	+0000009
248.987564     	u              	U              	-0000009
249.115222     	i              	I              	+0000014
249.195044     	i              	I              	-0000014
249.371538     	l              	L              	+0000020
249.451328     	l              	L              	-0000020
249.483238     	t              	T              	+0000024
249.547101     	t              	T              	-0000024
249.723597     	i              	I              	+0000015
249.803384     	i              	I              	-0000015
249.883171     	n              	N              	+0000013
249.946998     	n              	N              	-0000013
250.850611     	right          	aRight         	+0000012
250.931368     	right          	aRight         	-0000012
251.930696     	shift          	Shift_l        	+0000062
252.446316     	shift          	Shift_l        	+0000063
252.477266     	shift          	Shift_l        	+0000064
252.507153     	>              	s8             	+0000010
252.555026     	>              	s8             	-0000010
252.634848     	shift          	Shift_l        	-0000064
253.795719     	,              	s7             	+0000013
253.843582     	,              	s7             	-0000013
253.987198     	space          	Space          	+0000019
254.064041     	space          	Space          	-0000019
254.499149     	.              	s8             	+0000011
254.547053     	.              	s8             	-0000011
254.643761     	.              	s8             	+0000012
254.691634     	.              	s8             	-0000012
254.771419     	.              	s8             	+0000013
254.835263     	.              	s8             	-0000013
255.883447     	shift          	Shift_l        	+0000065
256.027093     	)              	0              	+0000005
256.122840     	)              	0              	-0000005
256.154732     	shift          	Shift_l        	-0000065
256.411067     	shift          	Shift_l        	+0000066
256.507778     	:              	s4             	+0000007
256.603561     	:              	s4             	-0000007
256.611503     	shift          	Shift_l        	-0000066
256.810998     	space          	Space          	+0000020
256.890755     	space          	Space          	-0000020
258.379773     	n              	N              	+0000014
258.443602     	n              	N              	-0000014
258.507432     	c              	C              	+0000007
258.571266     	c              	C              	-0000007
258.579239     	o              	O              	+0000016
258.635090     	o              	O              	-0000016
258.730835     	r              	R              	+0000019
258.795661     	r              	R              	-0000019
258.891404     	r              	R              	+0000020
258.971191     	e              	E              	+0000040
258.979170     	r              	R              	-0000020
259.051013     	e              	E              	-0000040
259.211563     	c              	C              	+0000008
259.307353     	c              	C              	-0000008
259.355197     	t              	T              	+0000025
259.419031     	space          	Space          	+0000021
259.434985     	t              	T              	-0000025
259.498812     	space          	Space          	-0000021
259.787012     	p              	P              	+0000008
259.818960     	p              	P              	-0000008
259.834884     	a              	A              	+0000021
259.931625     	a              	A              	-0000021
261.283044     	r              	R              	+0000021
261.362799     	a              	A              	+0000022
261.379754     	r              	R              	-0000021
261.443592     	a              	A              	-0000022
261.523369     	m              	M              	+0000001
261.587228     	m              	M              	-0000001
261.619112     	e              	E              	+0000041
261.698899     	e              	E              	-0000041
261.795640     	t              	T              	+0000026
261.859475     	t              	T              	-0000026
261.875427     	e              	E              	+0000042
261.955248     	e              	E              	-0000042
261.971205     	r              	R              	+0000022
262.035000     	r              	R              	-0000022
262.643374     	space          	Space          	+0000022
262.707235     	space          	Space          	-0000022
262.866778     	k              	K              	+0000009
262.939583     	k              	K              	-0000009
263.003421     	e              	E              	+0000043
263.067241     	e              	E              	-0000043
263.643706     	y              	Y              	+0000014
263.691573     	y              	Y              	-0000014
263.867117     	b              	B              	+0000011
263.946923     	b              	B              	-0000011
264.043636     	o              	O              	+0000017
264.123417     	o              	O              	-0000017
264.139414     	a              	A              	+0000023
264.251077     	a              	A              	-0000023
264.283026     	r              	R              	+0000023
264.363776     	r              	R              	-0000023
264.603134     	d              	D              	+0000009
264.666965     	d              	D              	-0000009
264.811578     	shift          	Shift_l        	+0000067
264.971154     	shift          	Shift_l        	-0000067
265.050936     	shift          	Shift_l        	+0000068
265.082853     	shift          	Shift_l        	-0000068
265.178596     	shift          	Shift_l        	+0000069
265.387070     	T              	T              	+0000027
265.450869     	T              	T              	-0000027
265.458849     	shift          	Shift_l        	-0000069
265.563574     	y              	Y              	+0000015
265.627414     	y              	Y              	-0000015
265.850833     	e              	E              	+0000044
265.931599     	e              	E              	-0000044
267.243076     	backspace      	BckSpc         	+0000034
267.306907     	backspace      	BckSpc         	-0000034
267.515349     	p              	P              	+0000009
267.579179     	p              	P              	-0000009
